place,placeLabel,geonames_ids
http://www.wikidata.org/entity/Q1940419,Whanganui River,19
http://www.wikidata.org/entity/Q609560,Mataura River,13
http://www.wikidata.org/entity/Q613522,Clutha River / Mata-Au,12
http://www.wikidata.org/entity/Q1490262,Whangaehu River,11
http://www.wikidata.org/entity/Q617750,Aparima River,10
http://www.wikidata.org/entity/Q618313,Manawatū River,10
http://www.wikidata.org/entity/Q206650,Southern Alps / Kā Tiritiri o te Moana,10
http://www.wikidata.org/entity/Q1943153,Mōkau River,10
http://www.wikidata.org/entity/Q15262256,Ngaruroro River,10
http://www.wikidata.org/entity/Q836930,Buller River,9
http://www.wikidata.org/entity/Q1905960,Maruia River,8
http://www.wikidata.org/entity/Q7098152,Ōpihi River,8
http://www.wikidata.org/entity/Q2566437,Whakatāne River,7
http://www.wikidata.org/entity/Q5878027,Hokitika River,7
http://www.wikidata.org/entity/Q1386261,Mōtū River,7
http://www.wikidata.org/entity/Q6886521,Moawhango River,7
http://www.wikidata.org/entity/Q6748624,Mangakāhia River,7
http://www.wikidata.org/entity/Q6748867,Mangawhero River,7
http://www.wikidata.org/entity/Q767824,Hauraki Gulf / Tīkapa Moana,6
http://www.wikidata.org/entity/Q5882378,Hollyford River/Whakatipu Kā Tuka,6
http://www.wikidata.org/entity/Q1660903,Inangahua River,6
http://www.wikidata.org/entity/Q7260232,Pūniu River,6
http://www.wikidata.org/entity/Q7960628,Waitoa River,6
http://www.wikidata.org/entity/Q6748803,Manganui River,6
http://www.wikidata.org/entity/Q6748804,Manganui River,6
http://www.wikidata.org/entity/Q32237953,Kiwitea Stream,6
http://www.wikidata.org/entity/Q497196,Tararua Range,5
http://www.wikidata.org/entity/Q498731,Remutaka Range,5
http://www.wikidata.org/entity/Q834000,Te Awa Kairangi / Hutt River,5
http://www.wikidata.org/entity/Q1134455,Coromandel Range,5
http://www.wikidata.org/entity/Q1140440,Haupapa / Tasman Glacier,5
http://www.wikidata.org/entity/Q5899443,Hope River,5
http://www.wikidata.org/entity/Q6378630,Kauaeranga River,5
http://www.wikidata.org/entity/Q1721483,Kaipara Harbour,5
http://www.wikidata.org/entity/Q5576724,Godley River,5
http://www.wikidata.org/entity/Q7004974,Nevis River,5
http://www.wikidata.org/entity/Q7967814,Wanganui River,5
http://www.wikidata.org/entity/Q7082728,Ōkūkū River,5
http://www.wikidata.org/entity/Q7993776,Whirinaki River,5
http://www.wikidata.org/entity/Q7375688,Ruakituri River,5
http://www.wikidata.org/entity/Q6785895,Mata River,5
http://www.wikidata.org/entity/Q15263527,Ōhinetamatea River / Saltwater Creek,5
http://www.wikidata.org/entity/Q32266844,Mangawhero Stream,5
http://www.wikidata.org/entity/Q32259843,Mangaokewa Stream,5
http://www.wikidata.org/entity/Q32279515,Moakurarua Stream,5
http://www.wikidata.org/entity/Q34949836,Taylors Stream,5
http://www.wikidata.org/entity/Q575365,Doubtful Sound / Patea,4
http://www.wikidata.org/entity/Q791608,Awanui River,4
http://www.wikidata.org/entity/Q921081,Tekapo River,4
http://www.wikidata.org/entity/Q927271,Heathcote River / Ōpāwaho,4
http://www.wikidata.org/entity/Q1186221,Te Oneroa-a-Tōhē / Ninety Mile Beach,4
http://www.wikidata.org/entity/Q4783757,Arahura River,4
http://www.wikidata.org/entity/Q4804674,Ashburton River / Hakatere,4
http://www.wikidata.org/entity/Q3647715,Aongatete River,4
http://www.wikidata.org/entity/Q6270050,Jollie River,4
http://www.wikidata.org/entity/Q6347697,Kaihū River,4
http://www.wikidata.org/entity/Q4923555,Blackwater River,4
http://www.wikidata.org/entity/Q5033629,Canterbury Bight,4
http://www.wikidata.org/entity/Q6368463,Karangarua River,4
http://www.wikidata.org/entity/Q6393895,Kerikeri River,4
http://www.wikidata.org/entity/Q6445647,Kuratau River,4
http://www.wikidata.org/entity/Q5566493,Glaisnock River,4
http://www.wikidata.org/entity/Q5640344,Hakaru River,4
http://www.wikidata.org/entity/Q5682746,Haupiri River,4
http://www.wikidata.org/entity/Q7676382,Tairua River,4
http://www.wikidata.org/entity/Q7686121,Taringamotu River,4
http://www.wikidata.org/entity/Q7095595,Ōpārara River,4
http://www.wikidata.org/entity/Q7095597,Ōpārau River,4
http://www.wikidata.org/entity/Q6748824,Mangapiko Stream,4
http://www.wikidata.org/entity/Q1721805,Kaituna River,4
http://www.wikidata.org/entity/Q5049176,Cass River,4
http://www.wikidata.org/entity/Q7688688,Tauwharenīkau River,4
http://www.wikidata.org/entity/Q7688856,Tauranga Taupō River,4
http://www.wikidata.org/entity/Q7688860,Taurangakautuku River,4
http://www.wikidata.org/entity/Q7990479,Whakatīkei River,4
http://www.wikidata.org/entity/Q8032738,Woodhill Forest,4
http://www.wikidata.org/entity/Q19875557,Motutere / Castle Rock,4
http://www.wikidata.org/entity/Q17122296,Wharepapa / Arthur Range,4
http://www.wikidata.org/entity/Q25222806,Humboldt Mountains,4
http://www.wikidata.org/entity/Q15244608,Mangatāwhiri River,4
http://www.wikidata.org/entity/Q29015148,Seaward Kaikōura Range,4
http://www.wikidata.org/entity/Q31694931,Harris Mountains,4
http://www.wikidata.org/entity/Q31697421,Garvie Mountains,4
http://www.wikidata.org/entity/Q31719546,Hanmer Range,4
http://www.wikidata.org/entity/Q32138293,Bowyers Stream,4
http://www.wikidata.org/entity/Q32219145,Heao Stream,4
http://www.wikidata.org/entity/Q32234300,Karapiro Stream,4
http://www.wikidata.org/entity/Q32251284,Rotowaro Opencast Mine,4
http://www.wikidata.org/entity/Q32273824,Maukoro Canal,4
http://www.wikidata.org/entity/Q32266318,Mangawara Stream,4
http://www.wikidata.org/entity/Q32267223,Mangemange Stream,4
http://www.wikidata.org/entity/Q32268908,Mapara Stream,4
http://www.wikidata.org/entity/Q32294589,Nenthorn Stream,4
http://www.wikidata.org/entity/Q34816260,Waiteti Stream,4
